county_fips,state,county_name,candidate,party,candidatevotes,totalvotes
1001,ALABAMA,AUTAUGA,JOSEPH R BIDEN JR,DEMOCRAT,7503,27770
1001,ALABAMA,AUTAUGA,OTHER,OTHER,429,27770
1001,ALABAMA,AUTAUGA,DONALD J TRUMP,REPUBLICAN,19838,27770
1003,ALABAMA,BALDWIN,JOSEPH R BIDEN JR,DEMOCRAT,24578,109679
1003,ALABAMA,BALDWIN,OTHER,OTHER,1557,109679
1003,ALABAMA,BALDWIN,DONALD J TRUMP,REPUBLICAN,83544,109679
1005,ALABAMA,BARBOUR,JOSEPH R BIDEN JR,DEMOCRAT,4816,10518
1005,ALABAMA,BARBOUR,OTHER,OTHER,80,10518
1005,ALABAMA,BARBOUR,DONALD J TRUMP,REPUBLICAN,5622,10518
1007,ALABAMA,BIBB,JOSEPH R BIDEN JR,DEMOCRAT,1986,9595
1007,ALABAMA,BIBB,OTHER,OTHER,84,9595
1007,ALABAMA,BIBB,DONALD J TRUMP,REPUBLICAN,7525,9595
1009,ALABAMA,BLOUNT,JOSEPH R BIDEN JR,DEMOCRAT,2640,27588
1009,ALABAMA,BLOUNT,OTHER,OTHER,237,27588
1009,ALABAMA,BLOUNT,DONALD J TRUMP,REPUBLICAN,24711,27588
1011,ALABAMA,BULLOCK,JOSEPH R BIDEN JR,DEMOCRAT,3446,4613
1011,ALABAMA,BULLOCK,OTHER,OTHER,21,4613
1011,ALABAMA,BULLOCK,DONALD J TRUMP,REPUBLICAN,1146,4613
1013,ALABAMA,BUTLER,JOSEPH R BIDEN JR,DEMOCRAT,3965,9488
1013,ALABAMA,BUTLER,OTHER,OTHER,65,9488
1013,ALABAMA,BUTLER,DONALD J TRUMP,REPUBLICAN,5458,9488
1015,ALABAMA,CALHOUN,JOSEPH R BIDEN JR,DEMOCRAT,15216,50983
1015,ALABAMA,CALHOUN,OTHER,OTHER,666,50983
1015,ALABAMA,CALHOUN,DONALD J TRUMP,REPUBLICAN,35101,50983
1017,ALABAMA,CHAMBERS,JOSEPH R BIDEN JR,DEMOCRAT,6365,15284
1017,ALABAMA,CHAMBERS,OTHER,OTHER,166,15284
1017,ALABAMA,CHAMBERS,DONALD J TRUMP,REPUBLICAN,8753,15284
1019,ALABAMA,CHEROKEE,JOSEPH R BIDEN JR,DEMOCRAT,1624,12301
1019,ALABAMA,CHEROKEE,OTHER,OTHER,94,12301
1019,ALABAMA,CHEROKEE,DONALD J TRUMP,REPUBLICAN,10583,12301
1021,ALABAMA,CHILTON,JOSEPH R BIDEN JR,DEMOCRAT,3073,19310
1021,ALABAMA,CHILTON,OTHER,OTHER,152,19310
1021,ALABAMA,CHILTON,DONALD J TRUMP,REPUBLICAN,16085,19310
1023,ALABAMA,CHOCTAW,JOSEPH R BIDEN JR,DEMOCRAT,3127,7464
1023,ALABAMA,CHOCTAW,OTHER,OTHER,41,7464
1023,ALABAMA,CHOCTAW,DONALD J TRUMP,REPUBLICAN,4296,7464
1025,ALABAMA,CLARKE,JOSEPH R BIDEN JR,DEMOCRAT,5755,13135
1025,ALABAMA,CLARKE,OTHER,OTHER,56,13135
1025,ALABAMA,CLARKE,DONALD J TRUMP,REPUBLICAN,7324,13135
1027,ALABAMA,CLAY,JOSEPH R BIDEN JR,DEMOCRAT,1267,6930
1027,ALABAMA,CLAY,OTHER,OTHER,62,6930
1027,ALABAMA,CLAY,DONALD J TRUMP,REPUBLICAN,5601,6930
1029,ALABAMA,CLEBURNE,JOSEPH R BIDEN JR,DEMOCRAT,675,7227
1029,ALABAMA,CLEBURNE,OTHER,OTHER,68,7227
1029,ALABAMA,CLEBURNE,DONALD J TRUMP,REPUBLICAN,6484,7227
1031,ALABAMA,COFFEE,JOSEPH R BIDEN JR,DEMOCRAT,5076,22275
